ds,forecast_revenue,forecast_profit
2022-01-01,453603.6181404,43380.625528799996
2022-02-01,454316.5156828295,43375.898003159135
2022-03-01,454960.4231291565,43371.627980158184
2022-04-01,455673.32066377957,43366.90045465003
2022-05-01,456363.2214960785,43362.32543017456
2022-06-01,457076.11901377805,43357.59790490942
2022-07-01,457766.0198343417,43353.02288053406
2022-08-01,458478.91735501157,43348.29535528037
2022-09-01,459191.8148690426,43343.56782983384
2022-10-01,459881.715696006,43338.992805408074
2022-11-01,460594.61320830806,43334.26528020456
2022-12-01,461284.5140280415,43329.6902555972
2023-01-01,461997.41154334694,43324.96272995439
2023-02-01,462710.30905680184,43320.23520432383
2023-03-01,463354.21648554044,43315.96518095915
2023-04-01,464067.1140054046,43311.23765516393
2023-05-01,464757.0148180468,43306.66263036283
2023-06-01,465469.9123167493,43301.93510448058
2023-07-01,466159.8131234623,43297.36007943094
2023-08-01,466872.7106270247,43292.63255365301
2023-09-01,467585.60813058703,43287.90502787509
2023-10-01,468275.5089404861,43283.3300029287
2023-11-01,468988.4064440484,43278.60247715077
2023-12-01,469678.3072539475,43274.02745220439
2024-01-01,470391.2047575098,43269.29992642646
2024-02-01,471104.10226107214,43264.57240064853
2024-03-01,471771.0063773079,43260.149876533695
2024-04-01,472483.9038808702,43255.42235075577
2024-05-01,473173.8046907693,43250.84732580939
2024-06-01,473886.7021943317,43246.119800031454
2024-07-01,474576.60300423065,43241.54477508507
2024-08-01,475289.500507793,43236.81724930715
2024-09-01,476002.39801135537,43232.089723529214
2024-10-01,476692.2988212544,43227.51469858284
2024-11-01,477405.1963248168,43222.78717280491
2024-12-01,478095.09713471576,43218.212147858525
